Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q8R010,AIMP2_MOUSE,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Aimp2 Jtv1,Mus musculus (Mouse),GO:0005634; GO:0005829; GO:0006412; GO:0006915; GO:0008285; GO:0017101; GO:0031398; GO:0060090; GO:0060510; GO:0065003; GO:1901216; GO:1903632
Q8IVU9,CBCO1_HUMAN,Ciliary-associated calcium-binding coiled-coil protein 1,CABCOCO1 C10orf107,Homo sapiens (Human),GO:0005509; GO:0005737; GO:0005813; GO:0036126
Q49AM3,TTC31_HUMAN,Tetratricopeptide repeat protein 31 (TPR repeat protein 31),TTC31,Homo sapiens (Human),
Q8BUL6,PKHA1_MOUSE,Pleckstrin homology domain-containing family A member 1 (PH domain-containing family A member 1) (Tandem PH domain-containing protein 1) (TAPP-1),Plekha1 Tapp1,Mus musculus (Mouse),GO:0001553; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0007283; GO:0008209; GO:0008210; GO:0008585; GO:0009791; GO:0014065; GO:0016020; GO:0030165; GO:0031529; GO:0032587; GO:0033327; GO:0035264; GO:0043325; GO:0045184; GO:0048008; GO:0048705; GO:0050853; GO:0051898; GO:0060021; GO:0060325; GO:0070301
Q9CZB3,THUM2_MOUSE,THUMP domain-containing protein 2,Thumpd2,Mus musculus (Mouse),GO:0003723; GO:0016423; GO:0030488
Q6UWH6,TX261_HUMAN,Protein TEX261,TEX261 UNQ1882/PRO4325,Homo sapiens (Human),GO:0006888; GO:0030134; GO:0030173; GO:0030176; GO:0097020
Q8N9V6,ANR53_HUMAN,Ankyrin repeat domain-containing protein 53,ANKRD53,Homo sapiens (Human),GO:0000922; GO:0005623; GO:0005737; GO:0005819; GO:0007080; GO:0031116; GO:0051301; GO:0060236; GO:1902412
D6REC4,CFA99_HUMAN,Cilia- and flagella-associated protein 99,CFAP99,Homo sapiens (Human),GO:0031514
O02485,YDJ1_CAEEL,Uncharacterized protein ZK1073.1,ZK1073.1,Caenorhabditis elegans,
P29348,GNAT3_RAT,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain),Gnat3 Gnat-3,Rattus norvegicus (Rat),GO:0001664; GO:0001669; GO:0003924; GO:0005525; GO:0005737; GO:0005834; GO:0005930; GO:0007186; GO:0007188; GO:0007601; GO:0016324; GO:0031683; GO:0032991; GO:0035094; GO:0046872; GO:0050909; GO:0050913; GO:0050916; GO:0050917
Q803A7,SPCS_DANRE,O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS) (Soluble liver antigen/liver pancreas antigen-like) (UGA suppressor tRNA-associated protein homolog),sepsecs sla/lpl zgc:55980,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000049; GO:0005737; GO:0006412; GO:0016785; GO:0097056
Q6P6M7,SPCS_MOUSE,O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS) (UGA suppressor tRNA-associated protein),Sepsecs D5Ertd135e,Mus musculus (Mouse),GO:0000049; GO:0001514; GO:0005634; GO:0005737; GO:0016785; GO:0097056
Q9NVH0,EXD2_HUMAN,Exonuclease 3'-5' domain-containing protein 2 (EC 3.1.11.1) (3'-5' exoribonuclease EXD2) (EC 3.1.13.-) (Exonuclease 3'-5' domain-like-containing protein 2),EXD2 C14orf114 EXDL2,Homo sapiens (Human),GO:0000175; GO:0000287; GO:0000724; GO:0000729; GO:0003676; GO:0005634; GO:0005737; GO:0005741; GO:0005759; GO:0006302; GO:0008296; GO:0008310; GO:0008408; GO:0008852; GO:0016021; GO:0030145; GO:0031297; GO:0042803; GO:0090305; GO:0090734
A6H5Z3,EXC6B_MOUSE,Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2),Exoc6b Sec15b Sec15l2,Mus musculus (Mouse),GO:0000145; GO:0006887; GO:0006893; GO:0006904
Q5R9B3,CC186_PONAB,Coiled-coil domain-containing protein 186 (Fragment),CCDC186,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),
P48441,IDUA_MOUSE,Alpha-L-iduronidase (EC 3.2.1.76),Idua,Mus musculus (Mouse),GO:0000902; GO:0003940; GO:0005102; GO:0005615; GO:0005764; GO:0005975; GO:0006027; GO:0007040; GO:0007613; GO:0007626; GO:0007628; GO:0008344; GO:0008542; GO:0030135; GO:0030198; GO:0030209; GO:0030211; GO:0035108; GO:0045780; GO:0048705; GO:0048878; GO:0060348; GO:0061037; GO:0090341; GO:0120158; GO:1990079
O35910,MOT4_RAT,Monocarboxylate transporter 4 (MCT 4) (Monocarboxylate transporter 3) (MCT 3) (Solute carrier family 16 member 3),Slc16a3 Mct3 Mct4,Rattus norvegicus (Rat),GO:0005886; GO:0005887; GO:0008028; GO:0015129; GO:0015293; GO:0015718; GO:0031965; GO:0035879; GO:0098688; GO:0099061
Q7Z5Q5,DPOLN_HUMAN,DNA polymerase nu (EC 2.7.7.7),POLN,Homo sapiens (Human),GO:0000724; GO:0003677; GO:0003887; GO:0005634; GO:0005654; GO:0005737; GO:0006261; GO:0019985; GO:0030332; GO:0036297
Q6PBN5,AUP1_DANRE,Ancient ubiquitous protein 1,aup1,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000839; GO:0016020; GO:0030176; GO:0030433; GO:0043130; GO:0097027
Q6QHF9,PAOX_HUMAN,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase),PAOX PAO UNQ1923/PRO4398,Homo sapiens (Human),GO:0005782; GO:0005829; GO:0006596; GO:0006598; GO:0006625; GO:0009446; GO:0009447; GO:0016491; GO:0046203; GO:0046208; GO:0046592; GO:0052899; GO:0052901; GO:0052902; GO:0052903; GO:0052904; GO:1901307
P18505,GBRB1_HUMAN,Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1),GABRB1,Homo sapiens (Human),GO:0004890; GO:0005635; GO:0005737; GO:0005886; GO:0005887; GO:0006811; GO:0007165; GO:0007214; GO:0007268; GO:0009636; GO:0015276; GO:0021954; GO:0022851; GO:0030054; GO:0030425; GO:0032570; GO:0034220; GO:0034707; GO:0042391; GO:0042698; GO:0043005; GO:0045202; GO:0045211; GO:0050811; GO:0050877; GO:0071420; GO:0098982; GO:1902476; GO:1902711; GO:1904315
Q8TCU4,ALMS1_HUMAN,Alstrom syndrome protein 1,ALMS1 KIAA0328,Homo sapiens (Human),GO:0000086; GO:0000922; GO:0005813; GO:0005814; GO:0005829; GO:0005929; GO:0008017; GO:0010389; GO:0016197; GO:0046599; GO:0051492; GO:0097711; GO:0120162
Q9NY64,GTR8_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)",SLC2A8 GLUT8 GLUTX1,Homo sapiens (Human),GO:0001666; GO:0005351; GO:0005353; GO:0005355; GO:0005536; GO:0005765; GO:0005886; GO:0005887; GO:0005975; GO:0007141; GO:0008021; GO:0008286; GO:0008645; GO:0015755; GO:0030665; GO:0033300; GO:0061024; GO:0070837; GO:1904659
Q8R087,B4GT7_MOUSE,"Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)",B4galt7 Xgalt1,Mus musculus (Mouse),GO:0003831; GO:0005794; GO:0005975; GO:0006024; GO:0006029; GO:0006487; GO:0008378; GO:0016021; GO:0030145; GO:0032580; GO:0046525; GO:0048147; GO:0097435
Q9H2G2,SLK_HUMAN,STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2),SLK KIAA0204 STK2,Homo sapiens (Human),GO:0004674; GO:0005524; GO:0005737; GO:0006915; GO:0023014; GO:0030334; GO:0031122; GO:0031252; GO:0032147; GO:0042802; GO:0042803; GO:0042981; GO:0045296; GO:0046777; GO:0048471; GO:0051893; GO:0070062
O08815,SLK_RAT,STE20-like serine/threonine-protein kinase (STE20-like kinase) (EC 2.7.11.1) (STE20-related serine/threonine-protein kinase) (STE20-related kinase),Slk Sk2,Rattus norvegicus (Rat),GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0006915; GO:0023014; GO:0030334; GO:0031122; GO:0031252; GO:0032147; GO:0033129; GO:0042802; GO:0042803; GO:0042981; GO:0043065; GO:0046777; GO:0048471; GO:0051893; GO:0071356
P97288,5HT4R_MOUSE,5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4),Htr4,Mus musculus (Mouse),GO:0004930; GO:0004993; GO:0005737; GO:0005768; GO:0005887; GO:0007187; GO:0007189; GO:0007214; GO:0007268; GO:0016020; GO:0030425; GO:0030594; GO:0032098; GO:0045202
Q155U0,VPS51_DANRE,Vacuolar protein sorting-associated protein 51 homolog (Protein fat-free),vps51 ffr,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000938; GO:0005829; GO:0006869; GO:0007030; GO:0007041; GO:0010517; GO:0015031; GO:0016020; GO:0030306; GO:0032456; GO:0042147; GO:0044241; GO:0048193; GO:0055037; GO:1990745
Q14203,DCTN1_HUMAN,Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued),DCTN1,Homo sapiens (Human),GO:0000086; GO:0000132; GO:0000278; GO:0000776; GO:0000922; GO:0003774; GO:0005623; GO:0005635; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0005874; GO:0005875; GO:0005938; GO:0006888; GO:0007399; GO:0007528; GO:0008017; GO:0010389; GO:0010457; GO:0010970; GO:0015630; GO:0015631; GO:0016020; GO:0019886; GO:0019901; GO:0021517; GO:0030286; GO:0030424; GO:0031116; GO:0034454; GO:0035371; GO:0036498; GO:0042147; GO:0043005; GO:0043025; GO:0045171; GO:0048156; GO:0050905; GO:0051081; GO:0051301; GO:0060236; GO:0061744; GO:0070050; GO:0072686; GO:0090063; GO:0097711; GO:0099558; GO:0099738; GO:0120103; GO:1904398; GO:1905515; GO:1990535
Q6PCJ1,DCTN1_XENLA,Dynactin subunit 1,dctn1,Xenopus laevis (African clawed frog),GO:0000132; GO:0000776; GO:0003774; GO:0005623; GO:0005813; GO:0005814; GO:0005819; GO:0005874; GO:0005938; GO:0008017; GO:0010970; GO:0030286; GO:0031122; GO:0035371; GO:0051301; GO:0060236; GO:0090316; GO:0099738
E9Q5G3,KIF23_MOUSE,Kinesin-like protein KIF23,Kif23,Mus musculus (Mouse),GO:0000281; GO:0000915; GO:0003777; GO:0005524; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0030496; GO:0032467; GO:0045171; GO:0051256; GO:0072383; GO:0072686; GO:0090543; GO:0097149
Q5ZLL7,WDR91_CHICK,WD repeat-containing protein 91,WDR91 RCJMB04_5j14,Gallus gallus (Chicken),GO:0005829; GO:0031313; GO:0031901; GO:0031902; GO:0035014; GO:0043551; GO:0045022
Q28IE5,NIT2_XENTR,Omega-amidase NIT2 (EC 3.5.1.3) (Nitrilase homolog 2),nit2 TNeu073c04.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),GO:0005737; GO:0006107; GO:0006528; GO:0006541; GO:0050152
Q6GPB6,KCMF1_XENLA,E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase KCMF1),kcmf1,Xenopus laevis (African clawed frog),GO:0003676; GO:0008270; GO:0061630
P11348,DHPR_RAT,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase),Qdpr Dhpr,Rattus norvegicus (Rat),GO:0001889; GO:0004155; GO:0005737; GO:0005829; GO:0006559; GO:0006729; GO:0010044; GO:0010288; GO:0033762; GO:0035690; GO:0042802; GO:0043005; GO:0070402; GO:0070404
Q5RAZ4,DHX15_PONAB,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (DEAH box protein 15),DHX15,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0003676; GO:0003724; GO:0005524; GO:0005730; GO:0006397; GO:0008380
Q9NY93,DDX56_HUMAN,Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56),DDX56 DDX21 NOH61,Homo sapiens (Human),GO:0003723; GO:0003724; GO:0005524; GO:0005730; GO:0006364; GO:0010976; GO:0016020
Q6GQH4,EGR1A_XENLA,Early growth response protein 1-A (EGR-1-A) (Xegr-1),egr1-a egr1,Xenopus laevis (African clawed frog),GO:0003700; GO:0005634; GO:0005737; GO:0006355; GO:0008270; GO:0010385; GO:0032922; GO:0043565; GO:0044729; GO:0045893; GO:0045944; GO:1990841
Q91YP6,ELMD3_MOUSE,ELMO domain-containing protein 3 (RNA-binding motif and ELMO domain-containing protein 1),Elmod3 Rbed1,Mus musculus (Mouse),GO:0005737; GO:0005856; GO:0032420; GO:0043547; GO:0060091
Q9Y3D5,RT18C_HUMAN,"28S ribosomal protein S18c, mitochondrial (MRP-S18-c) (Mrps18-c) (S18mt-c) (28S ribosomal protein S18-1, mitochondrial) (MRP-S18-1) (Mitochondrial small ribosomal subunit protein bS18c) (Mitochondrial small ribosomal subunit protein bS18m)",MRPS18C CGI-134,Homo sapiens (Human),GO:0003735; GO:0005743; GO:0005763; GO:0006412; GO:0070125; GO:0070126; GO:0070181
Q5QJC4,DCR1A_CHICK,DNA cross-link repair 1A protein (SNM1 homolog A) (chSNM1A),DCLRE1A SNM1A,Gallus gallus (Chicken),GO:0000715; GO:0000784; GO:0003684; GO:0005654; GO:0006281; GO:0006303; GO:0031848; GO:0035312; GO:0036297; GO:0046872
P22270,OAR_DROME,Tyramine/octopamine receptor (Tyr/Oct-Dro),Oct-TyrR OcR OctyR99AB TYR TyrR CG7485,Drosophila melanogaster (Fruit fly),GO:0004935; GO:0004989; GO:0005886; GO:0005887; GO:0007188; GO:0007211; GO:0007608; GO:0008227; GO:0010578; GO:0016021; GO:0071880; GO:1900738
A6H7G2,DBNL_BOVIN,Drebrin-like protein,DBNL,Bos taurus (Bovine),GO:0000139; GO:0001726; GO:0002102; GO:0002250; GO:0005769; GO:0005829; GO:0005886; GO:0006898; GO:0007416; GO:0014069; GO:0030027; GO:0030054; GO:0030425; GO:0030427; GO:0030665; GO:0030833; GO:0030864; GO:0043204; GO:0045211; GO:0045773; GO:0048812; GO:0051015; GO:0061003; GO:0071800; GO:0097178; GO:0098974
O94844,RHBT1_HUMAN,Rho-related BTB domain-containing protein 1,RHOBTB1 KIAA0740,Homo sapiens (Human),GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0005886; GO:0005938; GO:0007015; GO:0007266; GO:0008360; GO:0019901; GO:0030334; GO:0030950; GO:0032153; GO:0032956; GO:0043231; GO:0051017; GO:0051056
O95786,DDX58_HUMAN,Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),DDX58,Homo sapiens (Human),GO:0002230; GO:0002735; GO:0003690; GO:0003724; GO:0003725; GO:0003727; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0005923; GO:0008270; GO:0009597; GO:0009615; GO:0010628; GO:0015629; GO:0016032; GO:0016579; GO:0030334; GO:0031625; GO:0032480; GO:0032587; GO:0032725; GO:0032727; GO:0032728; GO:0032755; GO:0032757; GO:0034344; GO:0035549; GO:0039528; GO:0039529; GO:0042802; GO:0043330; GO:0045087; GO:0045944; GO:0051091; GO:0051607; GO:0060760; GO:0071360; GO:0140374; GO:1902741; GO:1904469; GO:1990904; GO:2000778
Q5ZJ69,ARI5B_CHICK,AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B),ARID5B RCJMB04_20e24,Gallus gallus (Chicken),GO:0003713; GO:0005634; GO:0006357; GO:0044212; GO:0051091; GO:0060612
E1BLP6,ARI5B_BOVIN,AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B),ARID5B,Bos taurus (Bovine),GO:0003713; GO:0005634; GO:0006357; GO:0044212; GO:0051091; GO:0060612
O08791,COE3_MOUSE,Transcription factor COE3 (Early B-cell factor 3) (EBF-3) (Olf-1/EBF-like 2) (O/E-2) (OE-2),Ebf3 Coe3,Mus musculus (Mouse),GO:0000978; GO:0001228; GO:0005634; GO:0007275; GO:0045893; GO:0045944; GO:0046872; GO:0046983
Q9UH73,COE1_HUMAN,Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor),EBF1 COE1 EBF,Homo sapiens (Human),GO:0000790; GO:0000981; GO:0001228; GO:0003677; GO:0005634; GO:0007275; GO:0045944; GO:0046872; GO:0046983; GO:0070742
Q920R0,ALS2_MOUSE,Alsin (Amyotrophic lateral sclerosis 2 protein homolog),Als2,Mus musculus (Mouse),GO:0001662; GO:0001701; GO:0001726; GO:0001881; GO:0005096; GO:0005634; GO:0005737; GO:0005769; GO:0005813; GO:0005829; GO:0006979; GO:0007032; GO:0007041; GO:0007409; GO:0007528; GO:0007626; GO:0008104; GO:0008219; GO:0014069; GO:0016020; GO:0016050; GO:0016197; GO:0016601; GO:0017112; GO:0017137; GO:0030027; GO:0030424; GO:0030425; GO:0030426; GO:0030676; GO:0031982; GO:0032991; GO:0035249; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0043087; GO:0043197; GO:0043231; GO:0043539; GO:0043547; GO:0045860; GO:0048365; GO:0048812; GO:0051036; GO:0051260
P0C5Y8,ALS2_RAT,Alsin (Amyotrophic lateral sclerosis 2 protein homolog),Als2,Rattus norvegicus (Rat),GO:0001662; GO:0001701; GO:0001726; GO:0001881; GO:0005737; GO:0005769; GO:0005813; GO:0005829; GO:0006979; GO:0007032; GO:0007409; GO:0007528; GO:0007626; GO:0008104; GO:0008219; GO:0014069; GO:0016020; GO:0016050; GO:0016197; GO:0016601; GO:0017112; GO:0017137; GO:0030027; GO:0030424; GO:0030425; GO:0030426; GO:0030676; GO:0031982; GO:0032991; GO:0035249; GO:0042803; GO:0043005; GO:0043025; GO:0043087; GO:0043197; GO:0043231; GO:0043539; GO:0043547; GO:0045860; GO:0048812; GO:0051036
Q8IS64,ECE_LOCMI,Endothelin-converting enzyme homolog (ECE) (EC 3.4.24.-),,Locusta migratoria (Migratory locust),GO:0004175; GO:0004222; GO:0005886; GO:0008270; GO:0016021
F1QQC3,LOL2A_DANRE,Lysyl oxidase homolog 2A (EC 1.4.3.13) (Lysyl oxidase-like protein 2A),loxl2a,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000122; GO:0000785; GO:0001666; GO:0001837; GO:0001935; GO:0002040; GO:0004720; GO:0005044; GO:0005507; GO:0005509; GO:0005604; GO:0005615; GO:0005634; GO:0005783; GO:0010718; GO:0016020; GO:0018057; GO:0030199; GO:0032332; GO:0043542; GO:0045892; GO:0070828; GO:1902455
P70117,LG3BP_MESAU,Galectin-3-binding protein (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein) (MAC2BP) (Mac-2 BP) (Pancreas cancer-associated protein 4),LGALS3BP M2BP,Mesocricetus auratus (Golden hamster),GO:0005044; GO:0005576; GO:0007155; GO:0016020
Q5RD78,HECD2_PONAB,Probable E3 ubiquitin-protein ligase HECTD2 (EC 2.3.2.26) (HECT domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECTD2),HECTD2,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0004842
Q9UJL9,ZF69B_HUMAN,Zinc finger protein 69 homolog B (Zinc finger protein 643),ZFP69B ZNF643,Homo sapiens (Human),GO:0003700; GO:0005634; GO:0005730; GO:0007030; GO:0043565; GO:0046872
P24014,SLIT_DROME,Protein slit (dSlit) [Cleaved into: Protein slit N-product; Protein slit C-product],sli CG43758,Drosophila melanogaster (Fruit fly),GO:0001764; GO:0003151; GO:0005509; GO:0005576; GO:0005886; GO:0007411; GO:0007427; GO:0007432; GO:0007502; GO:0007509; GO:0008078; GO:0008201; GO:0008347; GO:0008406; GO:0010632; GO:0016199; GO:0016201; GO:0022409; GO:0030182; GO:0030335; GO:0035050; GO:0035385; GO:0048495; GO:0048813; GO:0050929; GO:0071666; GO:2000274
Q60554,NKX61_MESAU,Homeobox protein Nkx-6.1 (Homeobox protein NK-6 homolog A),NKX6-1 NKX6A,Mesocricetus auratus (Golden hamster),GO:0000122; GO:0001764; GO:0003700; GO:0005634; GO:0030516; GO:0031016; GO:0043565; GO:0044342; GO:0045944; GO:0050796; GO:0051091; GO:0051594; GO:0072560; GO:2000078
O35762,NKX61_RAT,Homeobox protein Nkx-6.1 (Homeobox protein NK-6 homolog A),Nkx6-1 Nkx6.1 Nkx6a,Rattus norvegicus (Rat),GO:0000122; GO:0000978; GO:0001227; GO:0001764; GO:0003323; GO:0003682; GO:0003700; GO:0005634; GO:0006357; GO:0006366; GO:0007224; GO:0008283; GO:0021912; GO:0021913; GO:0021953; GO:0022008; GO:0030154; GO:0030516; GO:0031018; GO:0032024; GO:0035094; GO:0042493; GO:0043565; GO:0044342; GO:0045666; GO:0045686; GO:0045687; GO:0045944; GO:0048709; GO:0071345; GO:0071375; GO:2001222
Q9C056,NKX62_HUMAN,Homeobox protein Nkx-6.2 (Homeobox protein NK-6 homolog B),NKX6-2 GTX NKX6B,Homo sapiens (Human),GO:0000790; GO:0000978; GO:0000981; GO:0001227; GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0010454; GO:0010455; GO:0021912; GO:0021913; GO:0022010; GO:0030154; GO:0031018; GO:0031641; GO:0043565; GO:0045686; GO:0045687; GO:0045892; GO:0045944; GO:0050885
Q7QH73,PERC_ANOGA,Chorion peroxidase (EC 1.11.1.7),pxt AGAP004038,Anopheles gambiae (African malaria mosquito),GO:0004601; GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872; GO:0048477
Q7TQM3,FGRL1_RAT,Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1),Fgfrl1,Rattus norvegicus (Rat),GO:0000139; GO:0001501; GO:0003179; GO:0005007; GO:0005794; GO:0005886; GO:0008201; GO:0008285; GO:0016021; GO:0017134; GO:0030133; GO:0030658; GO:0044291; GO:0051260; GO:0060412; GO:0060539; GO:0098742
Q8IXT5,RB12B_HUMAN,RNA-binding protein 12B (RNA-binding motif protein 12B),RBM12B,Homo sapiens (Human),GO:0003723
Q8BJM3,R3HCL_MOUSE,Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88 homolog) (R3H and coiled-coil domain-containing protein 1-like),R3hcc1l D19Ertd386e Gidrp88,Mus musculus (Mouse),GO:0035145
D8VNS6,LECM_CERRY,C-type lectin (CTL),,Cerberus rynchops (Dog-faced water snake),GO:0005576; GO:0009405; GO:0030246; GO:0046872; GO:0090729
P70584,ACDSB_RAT,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)",Acadsb,Rattus norvegicus (Rat),GO:0003995; GO:0005739; GO:0005759; GO:0006631; GO:0006635; GO:0006637; GO:0009055; GO:0016937; GO:0050660
Q5FVR4,ERI1_RAT,3'-5' exoribonuclease 1 (EC 3.1.-.-) (Histone mRNA 3'-exonuclease 1),Eri1 Thex1,Rattus norvegicus (Rat),GO:0000175; GO:0000467; GO:0000738; GO:0005634; GO:0005730; GO:0005737; GO:0008408; GO:0019843; GO:0031047; GO:0031125; GO:0043022; GO:0046872; GO:0071204; GO:0071207
Q8K2C8,GPAT4_MOUSE,Glycerol-3-phosphate acyltransferase 4 (GPAT4) (EC 2.3.1.15) (1-acylglycerol-3-phosphate O-acyltransferase 6) (1-AGP acyltransferase 6) (1-AGPAT 6) (Acyl-CoA:glycerol-3-phosphate acyltransferase 4) (Lysophosphatidic acid acyltransferase zeta) (LPAAT-zeta) (Testis spermatogenesis apoptosis-related protein 7),Gpat4 Agpat6 Tsarg7,Mus musculus (Mouse),GO:0002071; GO:0004366; GO:0005783; GO:0006631; GO:0006637; GO:0006641; GO:0006656; GO:0007595; GO:0008610; GO:0016020; GO:0016024; GO:0019432; GO:0030176; GO:0030879; GO:0040014; GO:0046339; GO:0102420
